NUMBER, LAP_NUMBER,LAP_TIME, S1, S2, S3, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,TEAM,POWER,LOCATION,EVENT
28,6,100,24.162,27.393,19.337,117.8,837.2,1737.2,24.2,27.4,19.3,MNT,BMWl,235,Location 6,Free Practice 3
28,7,70,24.493,27.896,19.716,115.8,909.3,1809.3,24.5,27.9,19.7,MNT,BMWl,235,Location 6,Free Practice 3
28,8,98,24.32,27.695,19.695,116.5,981,1881,24.3,27.7,19.7,MNT,BMWl,235,Location 6,Free Practice 3
28,9,178,24.225,27.897,22.646,111.7,1055.8,1955.8,24.2,27.9,22.6,MNT,BMWl,235,Location 6,Free Practice 3
28,10,111,24.269,27.799,19.708,116.4,1127.6,2027.6,24.3,27.8,19.7,MNT,BMWl,235,Location 6,Free Practice 3
28,11,123,24.175,33.457,19.996,107.6,1205.2,2105.2,24.2,33.5,20,MNT,BMWl,235,Location 6,Free Practice 3
28,12,118,23.879,27.29,19.597,118,1276,2176,23.9,27.3,19.6,MNT,BMWl,235,Location 6,Free Practice 3
28,13,90,29.198,35.195,21.515,97.2,1361.9,2261.9,29.2,35.2,21.5,MNT,BMWl,235,Location 6,Free Practice 3
28,14,92,23.815,27.34,19.634,118,1432.7,2332.7,23.8,27.3,19.6,MNT,BMWl,235,Location 6,Free Practice 3
28,15,125,29.168,36.645,22.415,94.7,1520.9,2420.9,29.2,36.6,22.4,MNT,BMWl,235,Location 6,Free Practice 3
28,16,74,23.771,27.172,19.305,118.9,1591.1,2491.1,23.8,27.2,19.3,MNT,BMWl,235,Location 6,Free Practice 3
28,17,88,24.142,27.585,173.1,37.1,1816,2716,24.1,27.6,173.1,MNT,BMWl,235,Location 6,Free Practice 3
28,18,100,33.815,28.981,20.593,100.2,1899.4,2799.4,33.8,29,20.6,MNT,BMWl,235,Location 6,Free Practice 3
28,19,113,24.944,30.943,19.968,110.1,1975.2,2875.2,24.9,30.9,20,MNT,BMWl,235,Location 6,Free Practice 3
28,20,86,23.498,26.968,19.243,119.8,2044.9,2944.9,23.5,27,19.2,MNT,BMWl,235,Location 6,Free Practice 3
28,21,87,25.022,27.861,188.9,34.5,2286.7,3186.7,25,27.9,188.9,MNT,BMWl,250,Location 6,Free Practice 3
28,22,80,33.216,29.256,20.985,100.1,2370.2,3270.2,33.2,29.3,21,MNT,BMWl,235,Location 6,Free Practice 3
28,23,122,25.799,28.405,20.199,112.3,2444.6,3344.6,25.8,28.4,20.2,MNT,BMWl,235,Location 6,Free Practice 3
28,24,155,23.309,26.665,18.943,121.2,2513.5,3413.5,23.3,26.7,18.9,MNT,BMWl,250,Location 6,Free Practice 3
28,25,99,24.916,33.551,26.363,98.5,2598.3,3498.3,24.9,33.6,26.4,MNT,BMWl,250,Location 6,Free Practice 3
28,26,91,24.039,27.55,25.946,107.7,2675.9,3575.9,24,27.5,25.9,MNT,BMWl,250,Location 6,Free Practice 3
28,27,114,24.061,27.637,19.87,116.7,2747.4,47.4,24.1,27.6,19.9,MNT,BMWl,235,Location 6,Free Practice 3
29,1,90,523.4,32.941,22.187,14.4,578.5,1478.5,523.4,32.9,22.2,AS,MAHINDRAd,235,Location 6,Free Practice 3
29,2,86,25.638,31.749,20.184,107.7,656.1,1556.1,25.6,31.7,20.2,AS,MAHINDRAd,235,Location 6,Free Practice 3
29,3,70,23.7,26.823,18.984,120.2,725.6,1625.6,23.7,26.8,19,AS,MAHINDRAd,250,Location 6,Free Practice 3
29,4,100,29.241,35.986,20.388,97.6,811.2,1711.2,29.2,36,20.4,AS,MAHINDRAd,250,Location 6,Free Practice 3
29,5,91,24.803,28.15,20.443,113.8,884.6,1784.6,24.8,28.1,20.4,AS,MAHINDRAd,250,Location 6,Free Practice 3
29,6,72,24.912,28.305,1491.2,5.4,2429,3329,24.9,28.3,1491.2,AS,MAHINDRAd,235,Location 6,Free Practice 3
29,7,122,35.458,35.103,22.789,89.5,2522.3,3422.3,35.5,35.1,22.8,AS,MAHINDRAd,235,Location 6,Free Practice 3
29,8,72,26.428,31.683,21.889,104.4,2602.3,3502.3,26.4,31.7,21.9,AS,MAHINDRAd,235,Location 6,Free Practice 3
29,9,97,25.154,36.86,20.115,101.7,2684.5,3584.5,25.2,36.9,20.1,AS,MAHINDRAd,235,Location 6,Free Practice 3
29,10,89,23.965,27.385,19.507,117.9,2755.3,55.3,24,27.4,19.5,AS,MAHINDRAd,250,Location 6,Free Practice 3
33,1,69,64.4,32.985,22.609,69.6,120,1020,64.4,33,22.6,RR,AR,235,Location 6,Free Practice 3
33,2,102,27.513,30.161,28.778,96.6,206.4,1106.4,27.5,30.2,28.8,RR,AR,235,Location 6,Free Practice 3
33,3,109,24.327,27.948,31.367,99.9,290.1,1190.1,24.3,27.9,31.4,RR,AR,235,Location 6,Free Practice 3
33,4,88,24.024,27.388,19.465,117.8,361,1261,24,27.4,19.5,RR,AR,235,Location 6,Free Practice 3
33,5,103,34.39,36.341,23.522,88.6,455.2,1355.2,34.4,36.3,23.5,RR,AR,235,Location 6,Free Practice 3
33,6,112,23.908,27.336,19.354,118.3,525.8,1425.8,23.9,27.3,19.4,RR,AR,235,Location 6,Free Practice 3
33,7,102,24.866,28.776,189.9,34.3,769.4,1669.4,24.9,28.8,189.9,RR,AR,235,Location 6,Free Practice 3
33,8,89,40.158,33.353,21.407,88,864.3,1764.3,40.2,33.4,21.4,RR,AR,235,Location 6,Free Practice 3
33,9,93,25.468,28.479,19.94,113,938.2,1838.2,25.5,28.5,19.9,RR,AR,235,Location 6,Free Practice 3
33,10,71,24.293,27.945,19.525,116.4,1010,1910,24.3,27.9,19.5,RR,AR,235,Location 6,Free Practice 3
33,11,106,24.1,27.394,19.378,117.8,1080.8,1980.8,24.1,27.4,19.4,RR,AR,235,Location 6,Free Practice 3
33,12,99,24.589,28.699,19.779,114.3,1153.9,2053.9,24.6,28.7,19.8,RR,AR,235,Location 6,Free Practice 3
33,13,169,24.774,28.355,19.945,114.3,1227,2127,24.8,28.4,19.9,RR,AR,235,Location 6,Free Practice 3
33,14,68,24.826,28.425,19.604,114.6,1299.8,2199.8,24.8,28.4,19.6,RR,AR,235,Location 6,Free Practice 3
33,15,132,24.803,28.366,423,17.5,1776,2676,24.8,28.4,423,RR,AR,235,Location 6,Free Practice 3
33,16,126,33.879,34.451,20.828,93.7,1865.2,2765.2,33.9,34.5,20.8,RR,AR,235,Location 6,Free Practice 3
33,17,156,23.127,26.874,18.896,121.2,1934.1,2834.1,23.1,26.9,18.9,RR,AR,235,Location 6,Free Practice 3
33,18,98,25.573,34.464,501.7,14.9,2495.8,3395.8,25.6,34.5,501.7,RR,AR,250,Location 6,Free Practice 3
33,19,88,37.457,34.157,23.589,87.7,2591,3491,37.5,34.2,23.6,RR,AR,235,Location 6,Free Practice 3
33,20,101,23.149,26.555,18.893,121.8,2659.6,3559.6,23.1,26.6,18.9,RR,AR,250,Location 6,Free Practice 3
36,1,76,69.6,31.99,22.204,67.5,123.8,1023.8,69.6,32,22.2,ALOTTE,TAG ,250,Location 6,Free Practice 3
36,2,95,26.557,30.305,24.149,103.1,204.8,1104.8,26.6,30.3,24.1,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,3,84,26.112,29.298,20.691,109.7,280.9,1180.9,26.1,29.3,20.7,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,4,93,25.134,28.469,20.735,112.4,355.2,1255.2,25.1,28.5,20.7,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,5,84,24.961,28.225,20.063,114,428.5,1328.5,25,28.2,20.1,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,6,73,24.811,28.13,20.016,114.5,501.4,1401.4,24.8,28.1,20,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,7,99,24.648,28.278,19.963,114.6,574.3,1474.3,24.6,28.3,20,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,8,110,24.576,28.302,19.934,114.7,647.1,1547.1,24.6,28.3,19.9,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,9,94,24.55,28.202,19.983,114.8,719.9,1619.9,24.6,28.2,20,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,10,96,24.472,27.908,19.788,115.7,792,1692,24.5,27.9,19.8,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,11,39,34.852,44.365,25.458,79.8,896.7,1796.7,34.9,44.4,25.5,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,12,171,24.195,27.41,19.511,117.4,967.8,1867.8,24.2,27.4,19.5,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,13,84,24.07,27.532,19.555,117.4,1039,1939,24.1,27.5,19.6,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,14,116,30.19,35.099,299.4,22.9,1403.7,2303.7,30.2,35.1,299.4,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,15,71,34.402,38.309,21.89,88.3,1498.3,2398.3,34.4,38.3,21.9,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,16,71,23.453,26.949,19.056,120.2,1567.7,2467.7,23.5,26.9,19.1,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,17,73,29.894,35.962,21.211,95.9,1654.8,2554.8,29.9,36,21.2,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,18,73,23.872,27.416,19.336,118.3,1725.4,2625.4,23.9,27.4,19.3,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,19,77,23.994,27.251,19.854,117.5,1796.5,2696.5,24,27.3,19.9,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,20,70,29.475,33.83,21.227,98.8,1881.1,2781.1,29.5,33.8,21.2,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,21,118,23.696,27.16,19.433,118.8,1951.3,2851.3,23.7,27.2,19.4,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,22,96,23.907,27.424,19.654,117.7,2022.3,2922.3,23.9,27.4,19.7,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,23,73,23.911,27.387,76.1,65.6,2149.7,3049.7,23.9,27.4,76.1,ALOTTE,TAG ,250,Location 6,Free Practice 3
36,24,87,34.37,30.267,21.398,97.1,2235.7,3135.7,34.4,30.3,21.4,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,25,71,25.09,28.931,19.919,113,2309.7,3209.7,25.1,28.9,19.9,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,26,113,23.237,26.674,18.836,121.5,2378.4,3278.4,23.2,26.7,18.8,ALOTTE,TAG ,235,Location 6,Free Practice 3
36,27,111,25.882,28.551,159.5,39,2592.3,3492.3,25.9,28.6,159.5,ALOTTE,TAG ,250,Location 6,Free Practice 3
36,28,83,52.431,52.256,32.701,60.8,2729.7,29.7,52.4,52.3,32.7,ALOTTE,TAG ,250,Location 6,Free Practice 3
37,1,147,54.62,33.263,22.573,75.6,110.5,1010.5,54.6,33.3,22.6,N,EA,235,Location 6,Free Practice 3
37,2,91,27.911,33.987,22.697,98.7,195.1,1095.1,27.9,34,22.7,N,EA,235,Location 6,Free Practice 3
37,3,71,24.503,27.512,19.826,116.3,266.9,1166.9,24.5,27.5,19.8,N,EA,235,Location 6,Free Practice 3
37,4,96,32.446,37.937,22.809,89.6,360.1,1260.1,32.4,37.9,22.8,N,EA,235,Location 6,Free Practice 3
37,5,91,28.127,58.461,22.723,76.4,469.4,1369.4,28.1,58.5,22.7,N,EA,235,Location 6,Free Practice 3
37,6,93,23.957,27.331,429.4,17.4,950.1,1850.1,24,27.3,429.4,N,EA,235,Location 6,Free Practice 3
37,7,85,36.578,32.137,22.899,91.2,1041.7,1941.7,36.6,32.1,22.9,N,EA,235,Location 6,Free Practice 3
37,8,101,26.266,34.377,20.456,103,1122.8,2022.8,26.3,34.4,20.5,N,EA,235,Location 6,Free Practice 3
37,9,77,23.822,27.459,19.506,118,1193.6,2093.6,23.8,27.5,19.5,N,EA,235,Location 6,Free Practice 3
37,10,73,26.321,29.982,37.504,89,1287.4,2187.4,26.3,30,37.5,N,EA,235,Location 6,Free Practice 3
37,11,90,31.648,27.957,19.658,105.4,1366.7,2266.7,31.6,28,19.7,N,EA,235,Location 6,Free Practice 3
37,12,102,23.901,27.951,19.765,116.6,1438.3,2338.3,23.9,28,19.8,N,EA,235,Location 6,Free Practice 3
37,13,115,24.479,28.205,19.794,115.2,1510.8,2410.8,24.5,28.2,19.8,N,EA,235,Location 6,Free Practice 3
37,14,125,24.461,28.041,19.613,115.8,1582.9,2482.9,24.5,28,19.6,N,EA,235,Location 6,Free Practice 3
37,15,84,24.614,28.188,19.826,115,1655.5,2555.5,24.6,28.2,19.8,N,EA,235,Location 6,Free Practice 3
37,16,91,24.831,29.195,20.062,112.7,1729.6,2629.6,24.8,29.2,20.1,N,EA,235,Location 6,Free Practice 3
37,17,73,24.402,27.758,696,11.2,2477.8,3377.8,24.4,27.8,696,N,EA,235,Location 6,Free Practice 3
37,18,95,34.974,29.353,19.56,99.6,2561.7,3461.7,35,29.4,19.6,N,EA,235,Location 6,Free Practice 3
37,19,95,23.009,26.58,18.97,121.8,2630.2,3530.2,23,26.6,19,N,EA,235,Location 6,Free Practice 3
37,20,161,28.102,36.575,33.33,85.2,2728.2,28.2,28.1,36.6,33.3,N,EA,250,Location 6,Free Practice 3
4,1,100,55.897,34.308,22.104,74.4,112.3,1012.3,55.9,34.3,22.1,RFRI,EF,250,Location 6,Free Practice 3
4,2,114,28.49,33.687,23.658,97.3,198.1,1098.1,28.5,33.7,23.7,RFRI,EF,235,Location 6,Free Practice 3
4,3,123,24.271,27.416,19.673,117,269.5,1169.5,24.3,27.4,19.7,RFRI,EF,235,Location 6,Free Practice 3
4,4,89,27.906,32.859,25.353,97,355.6,1255.6,27.9,32.9,25.4,RFRI,EF,235,Location 6,Free Practice 3
4,5,100,29.067,33.287,20.67,100.6,438.6,1338.6,29.1,33.3,20.7,RFRI,EF,235,Location 6,Free Practice 3
4,6,84,23.917,28.27,313.9,22.8,804.7,1704.7,23.9,28.3,313.9,RFRI,EF,235,Location 6,Free Practice 3
4,7,102,40.471,34.04,23.094,85.6,902.3,1802.3,40.5,34,23.1,RFRI,EF,235,Location 6,Free Practice 3
4,8,123,27.405,32.166,21.717,102.7,983.6,1883.6,27.4,32.2,21.7,RFRI,EF,235,Location 6,Free Practice 3
4,9,116,25.787,28.955,20.738,110.7,1059.1,1959.1,25.8,29,20.7,RFRI,EF,235,Location 6,Free Practice 3
4,10,137,25.26,28.807,20.153,112.5,1133.3,2033.3,25.3,28.8,20.2,RFRI,EF,235,Location 6,Free Practice 3
4,11,93,24.836,28.419,20.054,113.9,1206.6,2106.6,24.8,28.4,20.1,RFRI,EF,235,Location 6,Free Practice 3
4,12,109,24.686,28.339,19.974,114.4,1279.6,2179.6,24.7,28.3,20,RFRI,EF,235,Location 6,Free Practice 3
4,13,69,24.53,28.648,1080.5,7.4,2413.3,3313.3,24.5,28.6,1080.5,RFRI,EF,235,Location 6,Free Practice 3
4,14,86,34.936,32.276,22.004,93.6,2502.5,3402.5,34.9,32.3,22,RFRI,EF,235,Location 6,Free Practice 3
4,15,73,26.08,31.183,21.579,105.9,2581.3,3481.3,26.1,31.2,21.6,RFRI,EF,235,Location 6,Free Practice 3
4,16,107,23.116,26.579,18.87,121.8,2649.9,3549.9,23.1,26.6,18.9,RFRI,EF,235,Location 6,Free Practice 3
4,17,105,29.208,32.421,22.815,98.9,2734.3,34.3,29.2,32.4,22.8,RFRI,EF,250,Location 6,Free Practice 3
48,1,92,74.4,31.894,22.351,64.9,128.6,1028.6,74.4,31.9,22.4,EMORT,ROKo,250,Location 6,Free Practice 3
48,2,104,26.383,30.069,314.3,22.5,499.4,1399.4,26.4,30.1,314.3,EMORT,ROKo,235,Location 6,Free Practice 3
48,3,112,40.719,34.103,22.398,85.9,596.6,1496.6,40.7,34.1,22.4,EMORT,ROKo,235,Location 6,Free Practice 3
48,4,73,26.893,33.303,21.94,101.7,678.7,1578.7,26.9,33.3,21.9,EMORT,ROKo,235,Location 6,Free Practice 3
48,5,116,23.882,27.248,19.401,118.4,749.3,1649.3,23.9,27.2,19.4,EMORT,ROKo,235,Location 6,Free Practice 3
48,6,70,30.055,39.501,24.198,89.1,843,1743,30.1,39.5,24.2,EMORT,ROKo,235,Location 6,Free Practice 3
48,7,91,24.213,27.533,19.437,117.3,914.2,1814.2,24.2,27.5,19.4,EMORT,ROKo,235,Location 6,Free Practice 3
48,8,102,26.83,28.51,21.84,108.2,991.4,1891.4,26.8,28.5,21.8,EMORT,ROKo,235,Location 6,Free Practice 3
48,9,89,24.627,27.758,19.684,115.9,1063.4,1963.4,24.6,27.8,19.7,EMORT,ROKo,235,Location 6,Free Practice 3
48,10,116,24.674,27.81,19.776,115.6,1135.7,2035.7,24.7,27.8,19.8,EMORT,ROKo,235,Location 6,Free Practice 3
48,11,107,24.512,27.86,19.655,116,1207.7,2107.7,24.5,27.9,19.7,EMORT,ROKo,235,Location 6,Free Practice 3
48,12,99,24.57,33.087,24.709,101.4,1290.1,2190.1,24.6,33.1,24.7,EMORT,ROKo,235,Location 6,Free Practice 3
48,13,96,30.399,30.813,20.598,102.1,1371.9,2271.9,30.4,30.8,20.6,EMORT,ROKo,235,Location 6,Free Practice 3
48,14,96,24.043,27.252,19.371,118.2,1442.6,2342.6,24,27.3,19.4,EMORT,ROKo,235,Location 6,Free Practice 3
48,15,110,27.779,33.051,21.966,100.9,1525.4,2425.4,27.8,33.1,22,EMORT,ROKo,235,Location 6,Free Practice 3
48,16,91,23.876,27.184,19.465,118.4,1595.9,2495.9,23.9,27.2,19.5,EMORT,ROKo,235,Location 6,Free Practice 3
48,17,69,29.065,33.884,22.272,98,1681.1,2581.1,29.1,33.9,22.3,EMORT,ROKo,235,Location 6,Free Practice 3
48,18,95,23.86,27.109,19.251,118.9,1751.3,2651.3,23.9,27.1,19.3,EMORT,ROKo,235,Location 6,Free Practice 3
48,19,91,25.504,30.049,561.3,13.5,2368.1,3268.1,25.5,30,561.3,EMORT,ROKo,235,Location 6,Free Practice 3
48,20,109,34.463,33.602,22.647,92.1,2458.9,3358.9,34.5,33.6,22.6,EMORT,ROKo,235,Location 6,Free Practice 3
48,21,85,28.191,29.581,19.889,107.5,2536.5,3436.5,28.2,29.6,19.9,EMORT,ROKo,235,Location 6,Free Practice 3
48,22,128,23.23,26.615,18.899,121.5,2605.3,3505.3,23.2,26.6,18.9,EMORT,ROKo,235,Location 6,Free Practice 3
5,1,98,396.9,36.559,24.995,18.2,458.5,1358.5,396.9,36.6,25,SVANDOO,Ml,250,Location 6,Free Practice 3
5,2,105,30.15,35.131,23.072,94.5,546.8,1446.8,30.1,35.1,23.1,SVANDOO,Ml,250,Location 6,Free Practice 3
5,3,74,24.478,27.614,19.881,116,618.8,1518.8,24.5,27.6,19.9,SVANDOO,Ml,235,Location 6,Free Practice 3
5,4,68,33.975,35.83,27.248,86.1,715.8,1615.8,34,35.8,27.2,SVANDOO,Ml,235,Location 6,Free Practice 3
5,5,94,23.507,26.986,19.492,119.3,785.8,1685.8,23.5,27,19.5,SVANDOO,Ml,235,Location 6,Free Practice 3
5,6,98,33.642,39.896,21.58,87.8,880.9,1780.9,33.6,39.9,21.6,SVANDOO,Ml,235,Location 6,Free Practice 3
5,7,74,24.561,27.961,19.764,115.5,953.2,1853.2,24.6,28,19.8,SVANDOO,Ml,235,Location 6,Free Practice 3
5,8,92,24.843,28.08,19.792,114.9,1025.9,1925.9,24.8,28.1,19.8,SVANDOO,Ml,250,Location 6,Free Practice 3
5,9,83,25.093,33.363,22.36,103.3,1106.8,2006.8,25.1,33.4,22.4,SVANDOO,Ml,235,Location 6,Free Practice 3
5,10,86,24.419,31.022,1030.4,7.7,2192.6,3092.6,24.4,31,1030.4,SVANDOO,Ml,235,Location 6,Free Practice 3
5,11,85,34.716,30.351,20.809,97.3,2278.5,3178.5,34.7,30.4,20.8,SVANDOO,Ml,235,Location 6,Free Practice 3
5,12,73,23.381,26.631,18.946,121.1,2347.4,3247.4,23.4,26.6,18.9,SVANDOO,Ml,235,Location 6,Free Practice 3
6,1,98,92.8,32.497,22.482,56.5,147.8,1047.8,92.8,32.5,22.5,J,DRAGONR,235,Location 6,Free Practice 3
6,2,69,26.911,30.326,20.889,106.9,225.9,1125.9,26.9,30.3,20.9,J,DRAGONR,250,Location 6,Free Practice 3
6,3,86,24.306,30.001,24.003,106.7,304.2,1204.2,24.3,30,24,J,DRAGONR,250,Location 6,Free Practice 3
6,4,105,24.123,27.766,19.484,117,375.6,1275.6,24.1,27.8,19.5,J,DRAGONR,235,Location 6,Free Practice 3
6,5,68,26.575,32.699,243.8,27.6,678.7,1578.7,26.6,32.7,243.8,J,DRAGONR,235,Location 6,Free Practice 3
6,6,83,36.692,34.451,24.45,87.4,774.3,1674.3,36.7,34.5,24.4,J,DRAGONR,235,Location 6,Free Practice 3
6,7,74,37.873,33.917,163.9,35.4,1010,1910,37.9,33.9,163.9,J,DRAGONR,235,Location 6,Free Practice 3
6,8,104,38.532,35.951,30.107,79.9,1114.6,2014.6,38.5,36,30.1,J,DRAGONR,235,Location 6,Free Practice 3
6,9,94,25.516,28.641,20.314,112.2,1189.1,2089.1,25.5,28.6,20.3,J,DRAGONR,235,Location 6,Free Practice 3
6,10,96,24.68,28.43,19.91,114.4,1262.1,2162.1,24.7,28.4,19.9,J,DRAGONR,235,Location 6,Free Practice 3
6,11,90,27.506,34.194,22.718,98.9,1346.5,2246.5,27.5,34.2,22.7,J,DRAGONR,235,Location 6,Free Practice 3
6,12,101,25.233,28.569,386.8,19,1787.1,2687.1,25.2,28.6,386.8,J,DRAGONR,235,Location 6,Free Practice 3
6,13,151,34.313,30.616,20.992,97.2,1873,2773,34.3,30.6,21,J,DRAGONR,235,Location 6,Free Practice 3
6,14,104,23.904,27.331,19.296,118.4,1943.6,2843.6,23.9,27.3,19.3,J,DRAGONR,235,Location 6,Free Practice 3
6,15,83,28.499,34.476,495.6,15,2502.1,3402.1,28.5,34.5,495.6,J,DRAGONR,235,Location 6,Free Practice 3
6,16,102,35.918,32.219,22.572,92.1,2592.8,3492.8,35.9,32.2,22.6,J,DRAGONR,235,Location 6,Free Practice 3
6,17,71,27.002,29.69,20.038,108.8,2669.6,3569.6,27,29.7,20,J,DRAGONR,235,Location 6,Free Practice 3
6,18,103,23.471,26.878,18.951,120.5,2738.9,38.9,23.5,26.9,19,J,DRAGONR,235,Location 6,Free Practice 3
7,1,129,77.9,34.094,22.195,62.3,134.1,1034.1,77.9,34.1,22.2,SM,DRAGONo,235,Location 6,Free Practice 3
7,2,81,26.348,30.143,21.568,107,212.2,1112.2,26.3,30.1,21.6,SM,DRAGONo,235,Location 6,Free Practice 3
7,3,162,24.798,28.149,20.105,114.3,285.3,1185.3,24.8,28.1,20.1,SM,DRAGONo,250,Location 6,Free Practice 3
7,4,120,25.266,28.624,21.28,111.1,360.4,1260.4,25.3,28.6,21.3,SM,DRAGONo,250,Location 6,Free Practice 3
7,5,73,27.761,28.444,20.158,109.4,436.8,1336.8,27.8,28.4,20.2,SM,DRAGONo,235,Location 6,Free Practice 3
7,6,71,24.838,28.316,22.352,110.6,512.3,1412.3,24.8,28.3,22.4,SM,DRAGONo,235,Location 6,Free Practice 3
7,7,89,24.93,27.941,19.882,114.8,585,1485,24.9,27.9,19.9,SM,DRAGONo,235,Location 6,Free Practice 3
7,8,73,24.196,27.834,19.898,116.1,657,1557,24.2,27.8,19.9,SM,DRAGONo,235,Location 6,Free Practice 3
7,9,73,27.34,29.989,298.9,23.4,1013.2,1913.2,27.3,30,298.9,SM,DRAGONo,235,Location 6,Free Practice 3
7,10,92,37.676,31.333,21.58,92.2,1103.8,2003.8,37.7,31.3,21.6,SM,DRAGONo,235,Location 6,Free Practice 3
7,11,82,26.599,32.014,22.666,102.8,1185.1,2085.1,26.6,32,22.7,SM,DRAGONo,235,Location 6,Free Practice 3
7,12,103,23.397,26.972,19.155,120.1,1254.6,2154.6,23.4,27,19.2,SM,DRAGONo,235,Location 6,Free Practice 3
7,13,76,24.692,36.149,23.998,98.4,1339.5,2239.5,24.7,36.1,24,SM,DRAGONo,235,Location 6,Free Practice 3
7,14,85,23.927,27.482,19.443,117.9,1410.3,2310.3,23.9,27.5,19.4,SM,DRAGONo,235,Location 6,Free Practice 3
7,15,104,26.527,31.2,414.2,17.7,1882.3,2782.3,26.5,31.2,414.2,SM,DRAGONo,235,Location 6,Free Practice 3
7,16,109,35.21,29.66,20.016,98.4,1967.1,2867.1,35.2,29.7,20,SM,DRAGONo,235,Location 6,Free Practice 3
7,17,96,23.834,27.437,19.355,118.3,2037.8,2937.8,23.8,27.4,19.4,SM,DRAGONo,235,Location 6,Free Practice 3
7,18,72,27.034,33.923,389.5,18.5,2488.2,3388.2,27,33.9,389.5,SM,DRAGONo,235,Location 6,Free Practice 3
7,19,98,34.062,31.33,22.175,95.4,2575.8,3475.8,34.1,31.3,22.2,SM,DRAGONo,235,Location 6,Free Practice 3
7,20,128,25.245,29.655,23.038,107.2,2653.7,3553.7,25.2,29.7,23,SM,DRAGONo,235,Location 6,Free Practice 3
7,21,83,23.184,26.734,19.032,121.1,2722.7,22.7,23.2,26.7,19,SM,DRAGONo,235,Location 6,Free Practice 3
71,1,88,77.1,33.661,22.546,62.6,133.3,1033.3,77.1,33.7,22.5,NN,ROK ,235,Location 6,Free Practice 3
71,2,84,26.557,29.514,359.3,20.1,548.7,1448.7,26.6,29.5,359.3,NN,ROK ,235,Location 6,Free Practice 3
71,3,90,33.955,30.311,21.604,97.3,634.6,1534.6,34,30.3,21.6,NN,ROK ,250,Location 6,Free Practice 3
71,4,97,26.853,31.858,25.748,98.9,719,1619,26.9,31.9,25.7,NN,ROK ,250,Location 6,Free Practice 3
71,5,85,24.143,27.289,19.429,117.9,789.9,1689.9,24.1,27.3,19.4,NN,ROK ,235,Location 6,Free Practice 3
71,6,126,27.045,31.412,25.093,100,873.5,1773.5,27,31.4,25.1,NN,ROK ,235,Location 6,Free Practice 3
71,7,84,24.235,27.69,19.589,116.8,945,1845,24.2,27.7,19.6,NN,ROK ,235,Location 6,Free Practice 3
71,8,87,24.699,28.227,19.899,114.7,1017.8,1917.8,24.7,28.2,19.9,NN,ROK ,235,Location 6,Free Practice 3
71,9,109,24.644,27.852,19.744,115.6,1090,1990,24.6,27.9,19.7,NN,ROK ,250,Location 6,Free Practice 3
71,10,70,24.57,27.834,19.738,115.8,1162.2,2062.2,24.6,27.8,19.7,NN,ROK ,235,Location 6,Free Practice 3
71,11,101,24.588,27.929,19.73,115.6,1234.4,2134.4,24.6,27.9,19.7,NN,ROK ,235,Location 6,Free Practice 3
71,12,72,24.345,27.854,19.691,116.2,1306.3,2206.3,24.3,27.9,19.7,NN,ROK ,235,Location 6,Free Practice 3
71,13,122,24.468,27.938,19.676,115.9,1378.4,2278.4,24.5,27.9,19.7,NN,ROK ,235,Location 6,Free Practice 3
71,14,82,30.027,34.87,22.116,96,1465.4,2365.4,30,34.9,22.1,NN,ROK ,235,Location 6,Free Practice 3
71,15,187,24.012,27.678,19.552,117.2,1536.7,2436.7,24,27.7,19.6,NN,ROK ,235,Location 6,Free Practice 3
71,16,91,29.931,38.641,21.061,93.2,1626.3,2526.3,29.9,38.6,21.1,NN,ROK ,235,Location 6,Free Practice 3
